FilePath,FileName,Directory,DateTimeOriginal,FileModifyDate,DateTime,DateTimeModified,DateTimeAdjusted,Region,Site,Camera,NewName
U:/Test Images/Peru/S90/SDZG 1/EK000053.JPG,EK000053.JPG,U:/Test Images/Peru/S90/SDZG 1,2014:07:08 03:15:05,2014:07:08 01:15:04-07:00,2014-07-08 03:15:05,2014-07-08 01:15:04,2014-07-08 01:15:04,Test Images,Peru,S90,Test Images_Peru_20140708_031505_EK000053.JPG
U:/Test Images/Peru/S90/SDZG 1/EK000054.JPG,EK000054.JPG,U:/Test Images/Peru/S90/SDZG 1,2014:07:08 03:15:05,2014:07:08 01:15:04-07:00,2014-07-08 03:15:05,2014-07-08 01:15:04,2014-07-08 01:15:04,Test Images,Peru,S90,Test Images_Peru_20140708_031505_EK000054.JPG
U:/Test Images/Peru/S90/SDZG 1/EK000055.JPG,EK000055.JPG,U:/Test Images/Peru/S90/SDZG 1,2014:07:08 08:24:18,2014:07:08 06:24:18-07:00,2014-07-08 08:24:18,2014-07-08 06:24:18,2014-07-08 06:24:18,Test Images,Peru,S90,Test Images_Peru_20140708_082418_EK000055.JPG
U:/Test Images/Peru/S90/SDZG 1/EK000056.JPG,EK000056.JPG,U:/Test Images/Peru/S90/SDZG 1,2014:07:08 08:24:18,2014:07:08 06:24:18-07:00,2014-07-08 08:24:18,2014-07-08 06:24:18,2014-07-08 06:24:18,Test Images,Peru,S90,Test Images_Peru_20140708_082418_EK000056.JPG
U:/Test Images/Peru/S90/SDZG 1/EK000057.JPG,EK000057.JPG,U:/Test Images/Peru/S90/SDZG 1,2014:07:08 08:24:19,2014:07:08 06:24:18-07:00,2014-07-08 08:24:19,2014-07-08 06:24:18,2014-07-08 06:24:18,Test Images,Peru,S90,Test Images_Peru_20140708_082419_EK000057.JPG
U:/Test Images/Peru/S90/SDZG 1/EK000058.JPG,EK000058.JPG,U:/Test Images/Peru/S90/SDZG 1,2014:07:10 04:16:55,2014:07:10 02:16:54-07:00,2014-07-10 04:16:55,2014-07-10 02:16:54,2014-07-10 02:16:54,Test Images,Peru,S90,Test Images_Peru_20140710_041655_EK000058.JPG
U:/Test Images/Peru/S90/SDZG 1/EK000059.JPG,EK000059.JPG,U:/Test Images/Peru/S90/SDZG 1,2014:07:10 04:16:55,2014:07:10 02:16:54-07:00,2014-07-10 04:16:55,2014-07-10 02:16:54,2014-07-10 02:16:54,Test Images,Peru,S90,Test Images_Peru_20140710_041655_EK000059.JPG
U:/Test Images/Peru/S90/SDZG 1/EK000060.JPG,EK000060.JPG,U:/Test Images/Peru/S90/SDZG 1,2014:07:10 04:16:56,2014:07:10 02:16:56-07:00,2014-07-10 04:16:56,2014-07-10 02:16:56,2014-07-10 02:16:56,Test Images,Peru,S90,Test Images_Peru_20140710_041656_EK000060.JPG
U:/Test Images/Peru/S90/SDZG 2/EK000008.JPG,EK000008.JPG,U:/Test Images/Peru/S90/SDZG 2,2014:07:01 15:21:15,2014:07:01 13:21:14-07:00,2014-07-01 15:21:15,2014-07-01 13:21:14,2014-07-01 13:21:14,Test Images,Peru,S90,Test Images_Peru_20140701_152115_EK000008.JPG
U:/Test Images/Peru/S90/SDZG 2/EK000009.JPG,EK000009.JPG,U:/Test Images/Peru/S90/SDZG 2,2014:07:01 15:21:15,2014:07:01 13:21:14-07:00,2014-07-01 15:21:15,2014-07-01 13:21:14,2014-07-01 13:21:14,Test Images,Peru,S90,Test Images_Peru_20140701_152115_EK000009.JPG
